,location,month,total_cases,total_deaths,stringency_index,population,gdp_per_capita,human_development_index
875,Italy,4,4828853,628660,92.59433333333332,60461828,35220.084,0.88
876,Italy,5,6887329,968137,66.57677419354843,60461828,35220.084,0.88
877,Italy,6,7107673,1027489,52.038333333333306,60461828,35220.084,0.88
878,Italy,7,7553786,1084553,55.973225806451616,60461828,35220.084,0.88
879,Italy,8,7897945,1094804,52.09258064516131,60461828,35220.084,0.88
880,Italy,9,8703714,1069469,48.334333333333326,60461828,35220.084,0.88
881,Italy,10,6666484,686856,49.657894736842124,60461828,35220.084,0.88
883,Jamaica,3,358,7,68.56736842105262,2961161,8193.571,0.732
884,Jamaica,4,4771,142,81.63599999999998,2961161,8193.571,0.732
885,Jamaica,5,15927,276,86.95032258064515,2961161,8193.571,0.732
886,Jamaica,6,18929,296,69.68899999999998,2961161,8193.571,0.732
887,Jamaica,7,24119,310,64.80999999999996,2961161,8193.571,0.732
888,Jamaica,8,39400,456,73.14903225806452,2961161,8193.571,0.732
889,Jamaica,9,126383,1583,78.7,2961161,8193.571,0.732
890,Jamaica,10,141003,2583,72.85789473684208,2961161,8193.571,0.732
891,Japan,1,55,0,2.2419354838709684,126476458,39002.223,0.909
892,Japan,2,2099,23,21.804482758620686,126476458,39002.223,0.909
893,Japan,3,26321,793,41.15870967741936,126476458,39002.223,0.909
894,Japan,4,246896,5203,45.73966666666668,126476458,39002.223,0.909
895,Japan,5,496139,21603,41.90451612903227,126476458,39002.223,0.909
896,Japan,6,527893,28019,25.923333333333357,126476458,39002.223,0.909
897,Japan,7,748685,30562,26.132258064516126,126476458,39002.223,0.909
898,Japan,8,1653452,34497,30.85838709677417,126476458,39002.223,0.909
899,Japan,9,2281332,43401,33.79866666666666,126476458,39002.223,0.909
900,Japan,10,1676612,30817,31.480000000000008,126476458,39002.223,0.909
902,Jersey,3,369,7,0.0,101073,38859.59633488372,0.9081906976744186
903,Jersey,4,6259,279,0.0,101073,37148.07635348837,0.8984790697674419
904,Jersey,5,9272,828,0.0,101073,32869.276399999995,0.8742
905,Jersey,6,9435,909,0.0,101073,28447.849781395347,0.8491116279069768
906,Jersey,7,10163,961,0.0,101073,24169.049827906972,0.8248325581395349
907,Jersey,8,10995,975,0.0,101073,19747.623209302325,0.7997441860465117
908,Jersey,9,11679,960,0.0,101073,15326.196590697673,0.7746558139534884
909,Jersey,10,8605,608,0.0,101073,11047.396637209302,0.7503767441860465
910,Jordan,3,1967,7,63.1104,10203140,8337.49,0.735
911,Jordan,4,11612,197,97.90133333333337,10203140,8337.49,0.735
912,Jordan,5,18515,277,81.33387096774196,10203140,8337.49,0.735
913,Jordan,6,28121,270,53.08833333333336,10203140,8337.49,0.735
914,Jordan,7,36284,320,48.15000000000002,10203140,8337.49,0.735
915,Jordan,8,44633,368,53.97258064516131,10203140,8337.49,0.735
916,Jordan,9,130615,815,63.79733333333338,10203140,8337.49,0.735
917,Jordan,10,444767,3399,75.19210526315793,10203140,8337.49,0.735
918,Kazakhstan,3,1694,2,66.73736842105264,18776707,24055.588,0.8
919,Kazakhstan,4,43846,418,89.34999999999995,18776707,24055.588,0.8
920,Kazakhstan,5,200192,1010,85.1703225806452,18776707,24055.588,0.8
921,Kazakhstan,6,469458,2823,79.16333333333333,18776707,24055.588,0.8
922,Kazakhstan,7,2017073,12771,75.8332258064516,18776707,24055.588,0.8
923,Kazakhstan,8,3642536,45061,76.4048387096774,18776707,24055.588,0.8
924,Kazakhstan,9,4099504,59245,78.88866666666665,18776707,24055.588,0.8
925,Kazakhstan,10,2720560,40150,78.70000000000002,18776707,24055.588,0.8
926,Kenya,3,313,5,51.88807692307691,53771300,2993.028,0.59
927,Kenya,4,6911,279,88.58166666666668,53771300,2993.028,0.59
928,Kenya,5,28207,1267,88.89,53771300,2993.028,0.59
929,Kenya,6,114410,3131,87.65533333333342,53771300,2993.028,0.59
930,Kenya,7,372358,6710,81.3006451612903,53771300,2993.028,0.59
931,Kenya,8,889008,14643,71.446129032258,53771300,2993.028,0.59
932,Kenya,9,1087410,18943,67.58999999999997,53771300,2993.028,0.59
933,Kenya,10,779117,14507,65.98052631578946,53771300,2993.028,0.59
934,Kosovo,3,860,9,87.9122222222222,1932774,9795.834,0.0
935,Kosovo,4,12963,307,92.59,1932774,9795.834,0.0
936,Kosovo,5,29384,872,90.08354838709676,1932774,9795.834,0.0
937,Kosovo,6,51853,1048,62.50099999999999,1932774,9795.834,0.0
938,Kosovo,7,161137,3657,56.57129032258067,1932774,9795.834,0.0
939,Kosovo,8,344712,11940,68.00645161290325,1932774,9795.834,0.0
940,Kosovo,9,440145,17694,58.70199999999998,1932774,9795.834,0.0
941,Kosovo,10,304886,12044,54.824736842105246,1932774,9795.834,0.0
942,Kuwait,1,0,0,1.614193548387097,4270563,65530.537000000004,0.8029999999999999
943,Kuwait,2,133,0,8.719310344827583,4270563,65530.537000000004,0.8029999999999999
944,Kuwait,3,3762,0,62.24516129032257,4270563,65530.537000000004,0.8029999999999999
945,Kuwait,4,47559,208,89.96999999999997,4270563,65530.537000000004,0.8029999999999999
946,Kuwait,5,422797,3102,96.2667741935484,4270563,65530.537000000004,0.8029999999999999
947,Kuwait,6,1087620,8748,84.94200000000004,4270563,65530.537000000004,0.8029999999999999
948,Kuwait,7,1755655,12357,79.80838709677423,4270563,65530.537000000004,0.8029999999999999
949,Kuwait,8,2344474,15307,65.74,4270563,65530.537000000004,0.8029999999999999
950,Kuwait,9,2865686,17017,65.74,4270563,65530.537000000004,0.8029999999999999
951,Kuwait,10,2094519,12365,63.25263157894738,4270563,65530.537000000004,0.8029999999999999
953,Kyrgyzstan,3,499,0,80.37692307692308,6524191,3393.474,0.672
954,Kyrgyzstan,4,13235,155,92.00666666666672,6524191,3393.474,0.672
955,Kyrgyzstan,5,36439,407,83.40838709677422,6524191,3393.474,0.672
956,Kyrgyzstan,6,85633,947,75.92666666666665,6524191,3393.474,0.672
957,Kyrgyzstan,7,590602,18726,76.47967741935487,6524191,3393.474,0.672
958,Kyrgyzstan,8,1274681,42256,77.82483870967745,6524191,3393.474,0.672
959,Kyrgyzstan,9,1354037,31862,69.07600000000004,6524191,3393.474,0.672
960,Kyrgyzstan,10,932721,20569,67.13000000000001,6524191,3393.474,0.672
961,Laos,3,37,0,47.61857142857143,7275556,6397.36,0.601
962,Laos,4,491,0,96.30000000000003,7275556,6397.36,0.601
963,Laos,5,589,0,71.20838709677425,7275556,6397.36,0.601
964,Laos,6,570,0,36.079,7275556,6397.36,0.601
965,Laos,7,596,0,15.593870967741948,7275556,6397.36,0.601
966,Laos,8,640,0,28.464193548387097,7275556,6397.36,0.601
967,Laos,9,679,0,32.409999999999975,7275556,6397.36,0.601
968,Laos,10,437,0,24.805789473684197,7275556,6397.36,0.601
969,Latvia,2,0,0,8.33,1886202,25063.846,0.847
970,Latvia,3,2929,0,39.06741935483871,1886202,25063.846,0.847
971,Latvia,4,19689,168,65.74,1886202,25063.846,0.847
972,Latvia,5,30194,604,60.63483870967746,1886202,25063.846,0.847
973,Latvia,6,32929,829,49.63299999999996,1886202,25063.846,0.847
974,Latvia,7,36368,948,46.299999999999976,1886202,25063.846,0.847
975,Latvia,8,40596,1009,43.51999999999999,1886202,25063.846,0.847
976,Latvia,9,45144,1060,43.20999999999997,1886202,25063.846,0.847
977,Latvia,10,48115,758,31.826315789473675,1886202,25063.846,0.847
979,Lebanon,2,13,0,4.597931034482759,6825442,13367.565,0.757
980,Lebanon,3,4620,91,58.155483870967764,6825442,13367.565,0.757
981,Lebanon,4,18667,601,84.69533333333337,6825442,13367.565,0.757
982,Lebanon,5,28704,796,78.85483870967745,6825442,13367.565,0.757
983,Lebanon,6,44024,927,74.06999999999996,6825442,13367.565,0.757
984,Lebanon,7,83030,1261,59.49935483870967,6825442,13367.565,0.757
985,Lebanon,8,289219,3118,50.2358064516129,6825442,13367.565,0.757
986,Lebanon,9,784608,7697,61.7883333333333,6825442,13367.565,0.757
987,Lebanon,10,967814,8492,59.260000000000005,6825442,13367.565,0.757
989,Lesotho,5,25,0,62.03999999999999,2142252,2851.153,0.52
990,Lesotho,6,240,0,59.57000000000003,2142252,2851.153,0.52
991,Lesotho,7,8073,131,62.09806451612902,2142252,2851.153,0.52
992,Lesotho,8,27283,800,71.3,2142252,2851.153,0.52
993,Lesotho,9,39038,980,64.908,2142252,2851.153,0.52
994,Lesotho,10,33289,769,53.99263157894739,2142252,2851.153,0.52
995,Liberia,3,39,0,63.45733333333333,5057677,752.788,0.435
996,Liberia,4,1946,189,85.33766666666669,5057677,752.788,0.435
997,Liberia,5,6752,676,86.88580645161298,5057677,752.788,0.435
998,Liberia,6,14917,953,80.09333333333338,5057677,752.788,0.435
999,Liberia,7,31681,1758,70.36999999999998,5057677,752.788,0.435
1000,Liberia,8,38987,2493,64.66096774193545,5057677,752.788,0.435
1001,Liberia,9,39703,2460,60.19000000000004,5057677,752.788,0.435
1002,Liberia,10,25855,1558,58.43421052631578,5057677,752.788,0.435
1003,Libya,3,21,0,44.04821428571428,6871287,17881.509,0.706
1004,Libya,4,1126,35,94.75333333333334,6871287,17881.509,0.706
1005,Libya,5,2245,100,99.52258064516131,6871287,17881.509,0.706
1006,Libya,6,13224,293,96.052,6871287,17881.509,0.706
1007,Libya,7,53938,1369,91.00774193548385,6871287,17881.509,0.706
1008,Libya,8,241736,4584,88.31806451612904,6871287,17881.509,0.706
1009,Libya,9,719379,11429,86.10999999999999,6871287,17881.509,0.706
1010,Libya,10,785605,11920,82.84842105263156,6871287,17881.509,0.706
1011,Liechtenstein,3,650,0,0.0,38137,17933.25458222222,0.9159999999999999
1012,Liechtenstein,4,2393,26,0.0,38137,19071.657391111108,0.9159999999999999
1013,Liechtenstein,5,2573,31,0.0,38137,20624.024857777775,0.9159999999999999
1014,Liechtenstein,6,2490,30,0.0,38137,22228.137906666663,0.9159999999999999
1015,Liechtenstein,7,2655,31,0.0,38137,23780.505373333333,0.9159999999999999
1016,Liechtenstein,8,2951,31,0.0,38137,25384.618422222222,0.9159999999999999
1017,Liechtenstein,9,3352,30,0.0,38137,26988.73147111111,0.9159999999999999
1018,Liechtenstein,10,2821,19,0.0,38137,28541.098937777777,0.9159999999999999
1020,Lithuania,2,2,0,1.149655172413793,2722291,29524.265,0.858
1021,Lithuania,3,3158,40,51.55193548387097,2722291,29524.265,0.858
1022,Lithuania,4,33033,794,81.72800000000004,2722291,29524.265,0.858
1023,Lithuania,5,47284,1720,73.74774193548384,2722291,29524.265,0.858
1024,Lithuania,6,52701,2234,42.2253333333333,2722291,29524.265,0.858
1025,Lithuania,7,59196,2459,28.228387096774174,2722291,29524.265,0.858
1026,Lithuania,8,74976,2546,21.592258064516145,2722291,29524.265,0.858
1027,Lithuania,9,105719,2617,19.440000000000005,2722291,29524.265,0.858
1028,Lithuania,10,111988,1935,17.031052631578948,2722291,29524.265,0.858
1032,Luxembourg,3,15027,140,49.93967741935486,625976,94277.965,0.904
1033,Luxembourg,4,97711,1874,76.23466666666666,625976,94277.965,0.904
1034,Luxembourg,5,121477,3208,58.0341935483871,625976,94277.965,0.904
1035,Luxembourg,6,122665,3300,37.498333333333335,625976,94277.965,0.904
1036,Luxembourg,7,163407,3442,21.23290322580646,625976,94277.965,0.904
1037,Luxembourg,8,223865,3766,34.28838709677418,625976,94277.965,0.904
1038,Luxembourg,9,223586,3720,42.31533333333333,625976,94277.965,0.904
1039,Luxembourg,10,178986,2457,43.51999999999999,625976,94277.965,0.904
1041,Macedonia,1,0,0,82.40999999999998,2083380,13111.214,0.757
1042,Macedonia,2,3,0,82.41,2083380,13111.214,0.757
1043,Macedonia,3,2122,30,82.40999999999998,2083380,13111.214,0.757
1044,Macedonia,4,27848,1214,82.41,2083380,13111.214,0.757
1045,Macedonia,5,54708,3109,82.40999999999998,2083380,13111.214,0.757
1046,Macedonia,6,123828,6007,82.41,2083380,13111.214,0.757
1047,Macedonia,7,263185,12291,82.40999999999998,2083380,13111.214,0.757
1048,Macedonia,8,387472,16706,82.40999999999998,2083380,13111.214,0.757
1049,Macedonia,9,479009,19839,82.41,2083380,13111.214,0.757
1050,Macedonia,10,386045,14870,82.41000000000001,2083380,13111.214,0.757
1051,Macedonia,12,0,0,82.41,2083380,13111.214,0.757
1052,Madagascar,3,220,0,89.98636363636362,27691019,1416.44,0.519
1053,Madagascar,4,3053,0,85.46266666666664,27691019,1416.44,0.519
1054,Madagascar,5,10038,33,69.38354838709672,27691019,1416.44,0.519
1055,Madagascar,6,40764,342,70.18466666666663,27691019,1416.44,0.519
1056,Madagascar,7,184040,1618,68.98,27691019,1416.44,0.519
1057,Madagascar,8,416618,4891,66.74032258064514,27691019,1416.44,0.519
1058,Madagascar,9,472231,6393,57.09666666666668,27691019,1416.44,0.519
1059,Madagascar,10,316357,4467,46.7357894736842,27691019,1416.44,0.519
1060,Malawi,3,0,0,52.78,19129955,1095.042,0.47700000000000004
1061,Malawi,4,491,50,57.717666666666695,19129955,1095.042,0.47700000000000004
1062,Malawi,5,2504,101,60.19000000000004,19129955,1095.042,0.47700000000000004
1063,Malawi,6,18606,214,60.19000000000004,19129955,1095.042,0.47700000000000004
1064,Malawi,7,80811,1633,60.19000000000004,19129955,1095.042,0.47700000000000004
1065,Malawi,8,153094,4740,63.76677419354835,19129955,1095.042,0.47700000000000004
1066,Malawi,9,170513,5321,55.89700000000003,19129955,1095.042,0.47700000000000004
1067,Malawi,10,110428,3421,34.503157894736844,19129955,1095.042,0.47700000000000004
1068,Malaysia,1,37,0,6.271612903225807,32365998,26808.164,0.802
1069,Malaysia,2,523,0,19.440000000000005,32365998,26808.164,0.802
1070,Malaysia,3,24862,217,46.23612903225808,32365998,26808.164,0.802
1071,Malaysia,4,141804,2334,73.15000000000005,32365998,26808.164,0.802
1072,Malaysia,5,212962,3430,71.41322580645162,32365998,26808.164,0.802
1073,Malaysia,6,251628,3570,60.7116666666667,32365998,26808.164,0.802
1074,Malaysia,7,271624,3788,48.53967741935482,32365998,26808.164,0.802
1075,Malaysia,8,283986,3876,56.51387096774195,32365998,26808.164,0.802
1076,Malaysia,9,300091,3886,52.90066666666665,32365998,26808.164,0.802
1077,Malaysia,10,286664,2911,58.04368421052632,32365998,26808.164,0.802
1079,Maldives,3,258,0,72.22000000000001,540542,15183.616000000002,0.7170000000000001
1080,Maldives,4,2014,0,72.22000000000001,540542,15183.616000000002,0.7170000000000001
1081,Maldives,5,31263,103,72.22,540542,15183.616000000002,0.7170000000000001
1082,Maldives,6,61895,230,72.22000000000001,540542,15183.616000000002,0.7170000000000001
1083,Maldives,7,88683,415,72.22,540542,15183.616000000002,0.7170000000000001
1084,Maldives,8,178716,696,72.22,540542,15183.616000000002,0.7170000000000001
1085,Maldives,9,276373,953,72.22000000000001,540542,15183.616000000002,0.7170000000000001
1086,Maldives,10,204838,657,72.22000000000001,540542,15183.616000000002,0.7170000000000001
1087,Mali,3,55,0,72.22000000000001,20250834,2014.306,0.42700000000000005
1088,Mali,4,5456,357,72.22000000000001,20250834,2014.306,0.42700000000000005
1089,Mali,5,25711,1493,60.242580645161304,20250834,2014.306,0.42700000000000005
1090,Mali,6,52925,3007,52.903333333333315,20250834,2014.306,0.42700000000000005
1091,Mali,7,74831,3745,52.6006451612903,20250834,2014.306,0.42700000000000005
1092,Mali,8,81508,3873,47.22000000000002,20250834,2014.306,0.42700000000000005
1093,Mali,9,88318,3840,40.79799999999997,20250834,2014.306,0.42700000000000005
1094,Mali,10,61833,2498,34.45315789473684,20250834,2014.306,0.42700000000000005
1095,Malta,2,0,0,16.670000000000012,441539,36513.323,0.878
1096,Malta,3,1545,0,16.67000000000001,441539,36513.323,0.878
1097,Malta,4,10797,63,16.670000000000012,441539,36513.323,0.878
1098,Malta,5,16735,173,16.67000000000001,441539,36513.323,0.878
1099,Malta,6,19394,270,16.670000000000012,441539,36513.323,0.878
1100,Malta,7,21058,279,16.67000000000001,441539,36513.323,0.878
1101,Malta,8,39236,289,16.67000000000001,441539,36513.323,0.878
1102,Malta,9,73412,560,16.670000000000012,441539,36513.323,0.878
1103,Malta,10,69084,775,16.67000000000001,441539,36513.323,0.878
1104,Mauritania,3,40,0,55.77470588235293,4649660,3597.633,0.52
1105,Mauritania,4,199,28,77.78,4649660,3597.633,0.52
1106,Mauritania,5,3341,149,77.78000000000002,4649660,3597.633,0.52
1107,Mauritania,6,59825,2360,77.78,4649660,3597.633,0.52
1108,Mauritania,7,167615,4494,40.560645161290346,4649660,3597.633,0.52
1109,Mauritania,8,206559,4880,29.63,4649660,3597.633,0.52
1110,Mauritania,9,218404,4818,16.388999999999992,4649660,3597.633,0.52
1111,Mauritania,10,143239,3081,36.69631578947369,4649660,3597.633,0.52
1112,Mauritius,3,698,21,71.52999999999999,1271767,20292.745,0.79
1113,Mauritius,4,8714,247,82.41,1271767,20292.745,0.79
1114,Mauritius,5,10308,310,79.53935483870966,1271767,20292.745,0.79
1115,Mauritius,6,10130,300,45.76966666666665,1271767,20292.745,0.79
1116,Mauritius,7,10619,310,17.92322580645162,1271767,20292.745,0.79
1117,Mauritius,8,10694,310,17.74419354838711,1271767,20292.745,0.79
1118,Mauritius,9,10859,300,22.220000000000017,1271767,20292.745,0.79
1119,Mauritius,10,7502,190,10.528421052631582,1271767,20292.745,0.79
1120,Mexico,1,20,0,0.0,128932753,17336.468999999997,0.774
1121,Mexico,2,107,0,0.19172413793103446,128932753,17336.468999999997,0.774
1122,Mexico,3,19035,104,19.923870967741934,128932753,17336.468999999997,0.774
1123,Mexico,4,356613,17560,82.41,128932753,17336.468999999997,0.774
1124,Mexico,5,2064700,157414,82.40999999999998,128932753,17336.468999999997,0.774
1125,Mexico,6,5677156,544860,71.51199999999997,128932753,17336.468999999997,0.774
1126,Mexico,7,11519468,1145277,70.82999999999997,128932753,17336.468999999997,0.774
1127,Mexico,8,17473585,1731487,72.26612903225805,128932753,17336.468999999997,0.774
1128,Mexico,9,21573567,2137534,71.91466666666665,128932753,17336.468999999997,0.774
1129,Mexico,10,15663297,1561614,37.42578947368422,128932753,17336.468999999997,0.774
1131,Moldova,3,2000,17,64.43681818181817,4033963,5189.972,0.7
1132,Moldova,4,59146,1493,85.83533333333337,4033963,5189.972,0.7
1133,Moldova,5,179488,6168,82.35032258064514,4033963,5189.972,0.7
1134,Moldova,6,362353,12349,80.55999999999996,4033963,5189.972,0.7
1135,Moldova,7,625383,20472,68.73064516129034,4033963,5189.972,0.7
1136,Moldova,8,936140,27529,57.410000000000025,4033963,5189.972,0.7
1137,Moldova,9,1320340,34525,49.50466666666667,4033963,5189.972,0.7
1138,Moldova,10,1147632,27393,55.07105263157893,4033963,5189.972,0.7
1139,Monaco,1,0,0,57.410000000000025,39244,5235.062671186441,0.7002779661016949
1140,Monaco,2,1,0,57.41000000000002,39244,5933.968074576271,0.704586440677966
1141,Monaco,3,343,0,57.410000000000025,39244,6587.782806779661,0.7086169491525424
1142,Monaco,4,1777,20,57.41000000000002,39244,7286.688210169492,0.7129254237288135
1143,Monaco,5,2059,31,57.410000000000025,39244,7963.0482779661015,0.7170949152542373
1144,Monaco,6,2028,30,57.41000000000002,39244,8661.953681355932,0.7214033898305084
1145,Monaco,7,2380,31,57.410000000000025,39244,9338.313749152543,0.7255728813559322
1146,Monaco,8,3164,31,57.410000000000025,39244,10037.219152542373,0.7298813559322034
1147,Monaco,9,5296,30,57.41000000000002,39244,10736.124555932205,0.7341898305084745
1148,Monaco,10,4463,19,57.40999999999999,39244,11412.484623728815,0.7383593220338983
1149,Monaco,12,0,0,57.41,39244,5212.51733559322,0.7001389830508474
1150,Mongolia,3,130,0,57.25111111111112,3278292,11840.846000000001,0.741
1151,Mongolia,4,759,0,66.20233333333333,3278292,11840.846000000001,0.741
1152,Mongolia,5,3035,0,73.62806451612903,3278292,11840.846000000001,0.741
1153,Mongolia,6,6045,0,71.29999999999998,3278292,11840.846000000001,0.741
1154,Mongolia,7,7964,0,60.90677419354843,3278292,11840.846000000001,0.741
1155,Mongolia,8,9191,0,60.19000000000004,3278292,11840.846000000001,0.741
1156,Mongolia,9,9318,0,50.029333333333355,3278292,11840.846000000001,0.741
1157,Mongolia,10,6023,0,42.59000000000002,3278292,11840.846000000001,0.741
1158,Montenegro,3,601,5,37.959999999999994,628062,16409.288,0.8140000000000001
1159,Montenegro,4,7981,114,37.960000000000015,628062,16409.288,0.8140000000000001
1160,Montenegro,5,10035,266,37.960000000000015,628062,16409.288,0.8140000000000001
1161,Montenegro,6,10697,274,37.960000000000015,628062,16409.288,0.8140000000000001
1162,Montenegro,7,49938,838,37.960000000000015,628062,16409.288,0.8140000000000001
1163,Montenegro,8,122525,2271,37.960000000000015,628062,16409.288,0.8140000000000001
1164,Montenegro,9,221252,3822,37.960000000000015,628062,16409.288,0.8140000000000001
1165,Montenegro,10,252883,3766,37.96000000000001,628062,16409.288,0.8140000000000001
1166,Montserrat,3,31,0,54.629090909090905,4999,16367.585780373833,0.8133130841121496
1167,Montserrat,4,273,5,70.61666666666666,4999,15908.861364485982,0.8057570093457944
1168,Montserrat,5,341,31,65.52806451612899,4999,14657.794775700935,0.7851495327102804
1169,Montserrat,6,330,30,64.80999999999996,4999,13365.02596728972,0.7638551401869159
1170,Montserrat,7,368,31,36.73774193548387,4999,12113.959378504675,0.7432476635514019
1171,Montserrat,8,403,31,32.350322580645134,4999,10821.190570093459,0.7219532710280374
1172,Montserrat,9,390,30,19.72000000000001,4999,9528.421761682243,0.7006588785046729
1173,Montserrat,10,247,19,0.0,4999,8277.355172897198,0.6800514018691589
1175,Morocco,3,3104,152,48.20967741935484,36910558,7485.013000000001,0.667
1176,Morocco,4,67909,3475,93.52,36910558,7485.013000000001,0.667
1177,Morocco,5,199944,5883,93.52,36910558,7485.013000000001,0.667
1178,Morocco,6,279379,6364,79.31933333333329,36910558,7485.013000000001,0.667
1179,Morocco,7,518185,8284,64.80999999999996,36910558,7485.013000000001,0.667
1180,Morocco,8,1281582,20834,69.65258064516124,36910558,7485.013000000001,0.667
1181,Morocco,9,2702467,49190,67.37633333333333,36910558,7485.013000000001,0.667
1182,Morocco,10,2786700,48088,64.76526315789474,36910558,7485.013000000001,0.667
1183,Mozambique,3,46,0,47.22,31255435,1136.103,0.43700000000000006
1184,Mozambique,4,1000,0,56.48000000000001,31255435,1136.103,0.43700000000000006
1185,Mozambique,5,4206,9,57.01806451612904,31255435,1136.103,0.43700000000000006
1186,Mozambique,6,17256,100,70.68266666666663,31255435,1136.103,0.43700000000000006
1187,Mozambique,7,40785,285,74.19483870967741,31255435,1136.103,0.43700000000000006
1188,Mozambique,8,86433,556,63.44,31255435,1136.103,0.43700000000000006
1189,Mozambique,9,175138,1137,62.03999999999998,31255435,1136.103,0.43700000000000006
1190,Mozambique,10,185714,1309,56.19157894736841,31255435,1136.103,0.43700000000000006
1191,Myanmar,3,48,0,51.48199999999999,54409794,5591.597,0.578
1192,Myanmar,4,2294,106,80.5543333333333,54409794,5591.597,0.578
1193,Myanmar,5,5730,186,82.23096774193544,54409794,5591.597,0.578
1194,Myanmar,6,7954,180,80.55999999999996,54409794,5591.597,0.578
1195,Myanmar,7,10287,186,79.24354838709672,54409794,5591.597,0.578
1196,Myanmar,8,13423,186,76.46161290322577,54409794,5591.597,0.578
1197,Myanmar,9,138444,2221,79.92066666666669,54409794,5591.597,0.578
1198,Myanmar,10,466029,10908,81.02,54409794,5591.597,0.578
1199,Namibia,3,77,0,50.491176470588215,2540916,9541.808,0.647
1200,Namibia,4,465,0,69.69400000000003,2540916,9541.808,0.647
1201,Namibia,5,546,0,67.62548387096777,2540916,9541.808,0.647
1202,Namibia,6,1626,0,60.275666666666694,2540916,9541.808,0.647
1203,Namibia,7,32028,99,54.25645161290326,2540916,9541.808,0.647
1204,Namibia,8,132059,1053,55.36387096774198,2540916,9541.808,0.647
1205,Namibia,9,289772,3072,57.31400000000001,2540916,9541.808,0.647
1206,Namibia,10,224726,2410,38.304210526315785,2540916,9541.808,0.647
1207,Nepal,1,7,0,4.212580645161291,29136808,2442.804,0.574
1208,Nepal,2,29,0,16.38241379310346,29136808,2442.804,0.574
1209,Nepal,3,39,0,48.71483870967742,29136808,2442.804,0.574
1210,Nepal,4,735,0,96.30000000000003,29136808,2442.804,0.574
1211,Nepal,5,12081,50,93.30806451612905,29136808,2442.804,0.574
1212,Nepal,6,195861,543,92.59,29136808,2442.804,0.574
1213,Nepal,7,529074,1212,87.33290322580639,29136808,2442.804,0.574
1214,Nepal,8,843874,3481,84.25967741935483,29136808,2442.804,0.574
1215,Nepal,9,1708915,10868,76.29399999999994,29136808,2442.804,0.574
1216,Nepal,10,1953038,11583,32.357894736842105,29136808,2442.804,0.574
1219,Netherlands,2,3,0,0.0,17134873,48472.545,0.9309999999999999
1220,Netherlands,3,89076,4780,44.264838709677406,17134873,48472.545,0.9309999999999999
1221,Netherlands,4,816071,90785,79.63000000000007,17134873,48472.545,0.9309999999999999
1222,Netherlands,5,1343825,171500,72.10387096774193,17134873,48472.545,0.9309999999999999
1223,Netherlands,6,1457860,181532,60.98666666666667,17134873,48472.545,0.9309999999999999
1224,Netherlands,7,1598966,190133,39.80999999999997,17134873,48472.545,0.9309999999999999
1225,Netherlands,8,1925481,191217,43.03709677419355,17134873,48472.545,0.9309999999999999
1226,Netherlands,9,2631337,188004,47.12666666666669,17134873,48472.545,0.9309999999999999
1227,Netherlands,10,3164010,124459,24.559999999999995,17134873,48472.545,0.9309999999999999
1229,New Caledonia,3,117,0,0.0,285491,48414.66321495327,0.9309345794392523
1230,New Caledonia,4,534,0,0.0,285491,47777.96357943925,0.930214953271028
1231,New Caledonia,5,561,0,0.0,285491,46041.51002803738,0.9282523364485981
1232,New Caledonia,6,620,0,0.0,285491,44247.174691588785,0.9262242990654206
1233,New Caledonia,7,668,0,0.0,285491,42510.72114018691,0.9242616822429907
1234,New Caledonia,8,706,0,0.0,285491,40716.38580373832,0.9222336448598131
1235,New Caledonia,9,776,0,0.0,285491,38922.05046728972,0.9202056074766355
1236,New Caledonia,10,513,0,0.0,285491,37185.59691588785,0.9182429906542057
1237,New Zealand,1,0,0,3.583870967741935,4822233,36085.843,0.917
1238,New Zealand,2,2,0,19.152758620689657,4822233,36085.843,0.917
1239,New Zealand,3,3360,3,45.66774193548387,4822233,36085.843,0.917
1240,New Zealand,4,30617,269,95.12666666666668,4822233,36085.843,0.917
1241,New Zealand,5,35561,649,55.6429032258064,4822233,36085.843,0.917
1242,New Zealand,6,34793,660,24.81233333333335,4822233,36085.843,0.917
1243,New Zealand,7,37091,682,22.220000000000017,4822233,36085.843,0.917
1244,New Zealand,8,39639,682,52.419354838709694,4822233,36085.843,0.917
1245,New Zealand,9,43444,725,33.97866666666669,4822233,36085.843,0.917
1246,New Zealand,10,28696,475,23.82736842105264,4822233,36085.843,0.917
1248,Nicaragua,3,30,4,8.33,6624554,5321.444,0.6579999999999999
1249,Nicaragua,4,254,47,12.778000000000008,6624554,5321.444,0.6579999999999999
1250,Nicaragua,5,5344,380,12.186129032258075,6624554,5321.444,0.6579999999999999
1251,Nicaragua,6,49871,1734,11.110000000000008,6624554,5321.444,0.6579999999999999
1252,Nicaragua,7,94673,3015,14.338387096774204,6624554,5321.444,0.6579999999999999
1253,Nicaragua,8,127948,3974,16.67000000000001,6624554,5321.444,0.6579999999999999
1254,Nicaragua,9,146304,4355,12.22200000000001,6624554,5321.444,0.6579999999999999
1255,Nicaragua,10,99986,2901,22.366842105263153,6624554,5321.444,0.6579999999999999
1256,Niger,3,79,9,55.809090909090905,24206636,926.0,0.354
1257,Niger,4,14363,481,61.109999999999964,24206636,926.0,0.354
1258,Niger,5,26749,1565,44.08354838709676,24206636,926.0,0.354
1259,Niger,6,30160,1979,22.220000000000017,24206636,926.0,0.354
