,vegetarian,glutenFree,dairyFree,veryHealthy,healthScore,aggregateLikes,id,title,pricePerServing,readyInMinutes,servings,sourceUrl,Calories-Amount,Calories-PercentOfDailyNeed,Fat-Amount,Fat-PercentOfDailyNeed,Saturated Fat-Amount,Saturated Fat-PercentOfDailyNeed,Carbohydrates-Amount,Carbohydrates-PercentOfDailyNeed,Sugar-Amount,Sugar-PercentOfDailyNeed,Cholesterol-Amount,Cholesterol-PercentOfDailyNeed,Sodium-Amount,Sodium-PercentOfDailyNeed,Alcohol-Amount,Alcohol-PercentOfDailyNeed,Protein-Amount,Protein-PercentOfDailyNeed,Vitamin A-Amount,Vitamin A-PercentOfDailyNeed,Vitamin K-Amount,Vitamin K-PercentOfDailyNeed,Manganese-Amount,Manganese-PercentOfDailyNeed,Vitamin C-Amount,Vitamin C-PercentOfDailyNeed,Vitamin B6-Amount,Vitamin B6-PercentOfDailyNeed,Copper-Amount,Copper-PercentOfDailyNeed,Fiber-Amount,Fiber-PercentOfDailyNeed,Potassium-Amount,Potassium-PercentOfDailyNeed,Magnesium-Amount,Magnesium-PercentOfDailyNeed,Phosphorus-Amount,Phosphorus-PercentOfDailyNeed,Iron-Amount,Iron-PercentOfDailyNeed,Vitamin B5-Amount,Vitamin B5-PercentOfDailyNeed,Vitamin B1-Amount,Vitamin B1-PercentOfDailyNeed,Calcium-Amount,Calcium-PercentOfDailyNeed,Folate-Amount,Folate-PercentOfDailyNeed,Vitamin E-Amount,Vitamin E-PercentOfDailyNeed,Vitamin B2-Amount,Vitamin B2-PercentOfDailyNeed,Vitamin B3-Amount,Vitamin B3-PercentOfDailyNeed,Zinc-Amount,Zinc-PercentOfDailyNeed,Selenium-Amount,Selenium-PercentOfDailyNeed,Vitamin B12-Amount,Vitamin B12-PercentOfDailyNeed,Vitamin D-Amount,Vitamin D-PercentOfDailyNeed,Caffeine-Amount,Caffeine-PercentOfDailyNeed
10,False,True,False,False,13.0,13,636359,Brussel Sprouts in Bacon and Garlic Sauce,111.13,45,2,https://www.foodista.com/recipe/HLHQZVB7/brussel-sprouts-in-bacon-and-garlic-sauce,127,6.36,6g,10.75,3g,23.87,13g,4.56,2g,3.17,15mg,5.02,1040mg,45.26,,,5g,11.34,1117IU,22.36,221µg,211.25,0.49mg,24.53,108mg,131.55,0.33mg,16.37,0.2mg,9.97,5g,20.79,511mg,14.62,38mg,9.6,101mg,10.18,1mg,10.3,0.42mg,4.21,0.2mg,13.58,80mg,8.06,81µg,20.38,1mg,10.07,0.12mg,7.18,1mg,5.1,0.7mg,4.64,2µg,4.15,,,,,,
11,True,False,False,False,41.0,8,655523,Pecan Sandies,754.63,45,1,http://www.foodista.com/recipe/XTJMLMP2/pecan-sandies,4578,228.91,287g,443.04,127g,796.35,479g,159.87,322g,358.2,815mg,271.8,2918mg,126.9,1g,7.64,41g,82.88,6203IU,124.07,36µg,34.43,5mg,289.48,1mg,1.32,0.45mg,22.39,1mg,77.67,14g,58.29,1290mg,36.87,176mg,44.18,706mg,70.63,13mg,72.72,3mg,32.76,2mg,144.83,205mg,20.59,413µg,103.27,11mg,77.33,1mg,94.12,12mg,62.02,7mg,47.93,98µg,140.78,1µg,19.49,5µg,34.43,,
12,True,True,False,False,10.0,8,650751,Mango Avocado Ice Cream,69.37,45,8,http://www.foodista.com/recipe/2Z8MHLXB/mango-avocado-ice-cream,139,6.97,8g,13.01,1g,10.38,16g,5.48,11g,13.26,3mg,1.02,17mg,0.75,,,2g,4.43,404IU,8.09,11µg,11.19,0.1mg,4.79,15mg,18.92,0.17mg,8.71,0.14mg,6.78,3g,15.25,335mg,9.6,20mg,5.17,56mg,5.62,0.36mg,2.02,0.87mg,8.73,0.06mg,3.73,44mg,4.43,53µg,13.47,1mg,8.68,0.13mg,7.66,1mg,5.44,0.48mg,3.19,1µg,2.22,0.14µg,2.29,0.4µg,2.64,,
13,False,True,True,False,20.0,27,652819,"My ""Secret"" Bolognese Sauce",275.53,45,12,https://www.foodista.com/recipe/3V8MZXNN/my-secret-bolognese-sauce,505,25.26,32g,50.35,11g,72.38,19g,6.61,11g,12.25,113mg,37.93,594mg,25.83,2g,11.78,28g,57.17,3555IU,71.12,43µg,41.0,0.39mg,19.3,26mg,32.31,0.77mg,38.67,0.25mg,12.26,4g,16.71,897mg,25.63,56mg,14.2,316mg,31.65,3mg,21.62,1mg,13.65,0.62mg,41.6,124mg,12.48,53µg,13.27,1mg,11.34,0.37mg,21.8,8mg,42.07,4mg,31.13,27µg,39.99,1µg,32.07,,,,
14,False,False,True,False,12.0,37,632071,All American Sloppy Joes,182.0,45,4,http://www.foodista.com/recipe/DNFR7JZT/sloppy-joe,506,25.33,27g,42.93,9g,59.57,38g,12.68,14g,16.24,79mg,26.63,1033mg,44.92,,,24g,49.8,310IU,6.22,8µg,8.05,0.41mg,20.47,18mg,22.31,0.55mg,27.64,0.23mg,11.26,2g,9.96,663mg,18.95,44mg,11.2,255mg,25.5,4mg,25.99,0.81mg,8.06,0.36mg,24.14,120mg,12.08,67µg,16.78,1mg,12.65,0.31mg,18.48,7mg,37.61,5mg,35.32,27µg,39.25,2µg,41.56,,,,
15,True,False,False,False,3.0,7,641659,Drunken Apple Cake,210.89,45,6,https://www.foodista.com/recipe/4WGZFZBC/drunken-apple-cake,1071,53.57,60g,93.41,27g,173.34,118g,39.46,75g,84.2,150mg,50.27,968mg,42.11,5g,30.0,9g,18.78,1215IU,24.31,14µg,13.94,0.72mg,35.83,4mg,5.26,0.15mg,7.37,0.26mg,13.13,4g,16.02,262mg,7.49,35mg,8.92,165mg,16.57,2mg,15.08,0.79mg,7.9,0.4mg,26.74,84mg,8.5,97µg,24.39,2mg,16.43,0.4mg,23.24,2mg,13.58,1mg,7.17,20µg,29.68,0.33µg,5.47,0.94µg,6.28,,
16,False,True,True,False,35.0,9,656846,Pork with Blueberry Sauce,359.54,45,4,http://www.foodista.com/recipe/RTDNFR4H/pork-with-blueberry-sauce,335,16.75,13g,20.18,3g,22.38,23g,7.76,18g,20.63,89mg,29.93,269mg,11.72,,,30g,60.38,2683IU,53.68,71µg,68.56,0.15mg,7.56,107mg,130.16,1mg,61.96,0.12mg,6.15,2g,10.55,759mg,21.7,51mg,12.82,336mg,33.68,1mg,8.47,1mg,13.15,0.96mg,63.68,44mg,4.46,47µg,11.77,2mg,13.57,0.33mg,19.18,11mg,57.83,2mg,15.86,44µg,64.0,0.71µg,11.84,0.54µg,3.57,,
17,False,False,False,False,1.0,13,646825,Holiday Cookies,26.2,45,24,https://www.foodista.com/recipe/K88VYRLF/holiday-cookies,184,9.21,9g,14.52,4g,25.51,22g,7.52,9g,11.05,28mg,9.63,64mg,2.79,,,3g,6.01,198IU,3.96,,,0.28mg,13.79,,,0.04mg,1.98,0.11mg,5.26,0.75g,3.01,66mg,1.9,11mg,2.96,59mg,5.94,0.96mg,5.31,0.16mg,1.61,0.14mg,9.41,20mg,2.01,35µg,8.84,0.25mg,1.64,0.11mg,6.24,0.98mg,4.92,0.32mg,2.11,6µg,9.85,,,0.18µg,1.2,,
18,False,False,False,False,28.0,25,632279,Amaretto Cheesecake,1717.98,45,1,http://www.foodista.com/recipe/YL7GWKW2/amaretto-cheesecake,5212,260.65,303g,467.01,163g,1022.39,440g,146.83,364g,405.45,1288mg,429.43,3394mg,147.57,76g,426.11,68g,137.47,11205IU,224.11,24µg,23.65,0.57mg,28.25,2mg,2.58,0.69mg,34.56,0.44mg,22.17,5g,21.92,1748mg,49.97,184mg,46.22,1486mg,148.62,10mg,59.19,6mg,63.94,0.57mg,37.76,1108mg,110.84,202µg,50.72,4mg,30.06,2mg,126.49,6mg,32.89,8mg,56.18,59µg,84.75,3µg,55.83,7µg,48.38,76mg,25.59
19,False,False,False,False,4.0,17,637042,Caramelised Onion and Mushroom Quiche,135.31,45,4,https://www.foodista.com/recipe/S7XHL4C5/caramelised-onion-and-mushroom-quiche,427,21.39,28g,44.17,12g,76.56,29g,9.75,2g,2.82,120mg,40.21,467mg,20.34,,,13g,27.32,563IU,11.26,10µg,10.17,0.34mg,17.1,5mg,6.59,0.2mg,9.98,0.11mg,5.37,2g,8.91,244mg,6.98,27mg,6.82,270mg,27.06,2mg,11.61,0.81mg,8.13,0.19mg,12.4,242mg,24.21,67µg,16.94,1mg,9.17,0.34mg,20.27,1mg,6.77,1mg,12.36,12µg,18.28,0.69µg,11.51,0.6µg,3.98,,
20,False,True,True,False,27.0,19,638257,Chicken Porridge,217.55,45,4,http://www.foodista.com/recipe/S6FN8VYN/chicken-porridge,392,19.61,6g,9.96,1g,11.89,53g,17.81,7g,8.08,57mg,19.0,826mg,35.94,,,27g,55.47,3210IU,64.22,102µg,97.94,0.65mg,32.35,12mg,14.77,0.92mg,45.92,0.33mg,16.33,2g,8.41,815mg,23.3,53mg,13.43,315mg,31.51,2mg,11.18,1mg,16.66,0.22mg,14.43,52mg,5.22,44µg,11.03,0.5mg,3.35,0.38mg,22.23,13mg,68.12,1mg,10.42,37µg,54.14,0.15µg,2.5,,,,
21,True,False,False,False,1.0,7,639644,Classic Vanilla-Orange Sugar Cookies,38.95,45,24,http://www.foodista.com/recipe/MTC5387V/classic-vanilla-orange-sugar-cookies,221,11.08,12g,19.55,7g,48.12,24g,8.09,9g,10.97,42mg,14.04,103mg,4.51,,,2g,5.5,324IU,6.5,1µg,1.26,0.23mg,11.67,1mg,1.24,,,0.13mg,6.73,1g,4.72,70mg,2.01,18mg,4.5,47mg,4.75,1mg,8.68,0.18mg,1.75,0.14mg,9.26,14mg,1.4,33µg,8.43,0.36mg,2.43,0.11mg,6.49,1mg,5.39,0.38mg,2.51,7µg,10.66,0.07µg,1.24,0.27µg,1.81,4mg,1.57
22,True,False,True,True,96.0,11,652417,Moroccan chickpea and lentil stew,126.12,30,3,http://www.foodista.com/recipe/C6DXLHJH/moroccan-chickpea-and-lentil-stew,465,23.28,7g,11.18,0.92g,5.72,82g,27.49,5g,5.62,0.0mg,0.0,759mg,33.02,,,20g,40.1,9187IU,183.75,43µg,41.16,2mg,106.66,35mg,42.58,1mg,51.43,0.58mg,28.94,15g,62.3,873mg,24.96,104mg,26.22,337mg,33.75,5mg,31.45,1mg,17.51,0.27mg,18.24,129mg,12.99,141µg,35.39,2mg,13.34,0.2mg,11.64,3mg,19.01,2mg,16.09,5µg,7.88,,,,,,
23,False,True,True,False,53.0,8,659927,Shrimp and Avocado Salad,514.49,45,4,https://www.foodista.com/recipe/ZTNWCWQP/shrimp-and-avocado-salad,501,25.08,22g,34.66,3g,20.15,45g,15.26,19g,21.51,378mg,126.23,1233mg,53.65,,,36g,72.62,1234IU,24.68,54µg,52.08,2mg,115.97,106mg,129.62,0.62mg,31.2,0.85mg,42.53,12g,48.98,1102mg,31.5,123mg,30.93,424mg,42.47,4mg,27.11,2mg,27.46,0.28mg,18.88,271mg,27.12,175µg,43.95,4mg,30.69,0.29mg,16.8,4mg,23.95,4mg,29.03,72µg,103.57,1µg,18.54,,,,
24,False,True,True,False,27.0,11,634434,Basil Marinated Grilled Chicken,259.49,45,8,https://www.foodista.com/recipe/6FPGHLSQ/basil-marinated-grilled-chicken,285,14.26,8g,13.23,1g,10.36,0.65g,0.22,0.03g,0.04,144mg,48.21,408mg,17.74,,,48g,96.53,384IU,7.69,26µg,25.71,0.13mg,6.41,4mg,5.16,1mg,86.03,0.09mg,4.44,,,859mg,24.57,62mg,15.74,480mg,48.03,1mg,5.93,3mg,32.42,0.15mg,9.98,24mg,2.48,13µg,3.29,0.87mg,5.77,0.23mg,13.66,23mg,118.18,1mg,9.18,72µg,103.64,0.45µg,7.53,0.23µg,1.51,,
25,True,False,False,False,0.0,19,636080,Breakfast Sticky Buns,76.44,45,8,http://www.foodista.com/recipe/BGFWVQDM/breakfast-sticky-buns,123,6.18,6g,9.74,1g,8.77,17g,5.71,15g,17.38,3mg,1.29,33mg,1.48,,,0.78g,1.57,,,,,0.29mg,14.43,,,0.02mg,1.05,0.08mg,4.14,0.6g,2.38,51mg,1.48,9mg,2.31,23mg,2.3,0.28mg,1.58,,,0.04mg,2.88,22mg,2.21,,,0.16mg,1.09,0.02mg,1.01,,,0.31mg,2.04,,,,,,,,
26,False,True,True,True,59.0,6,639891,Coffee-braised Short Ribs,561.62,45,5,http://www.foodista.com/recipe/8ZDDXLKG/coffee-braised-short-ribs,684,34.21,40g,61.58,15g,95.15,13g,4.55,8g,9.1,195mg,65.12,291mg,12.66,,,64g,129.56,1851IU,37.02,14µg,13.46,0.32mg,16.11,49mg,60.13,1mg,77.7,0.31mg,15.62,2g,11.07,1476mg,42.18,93mg,23.47,670mg,67.01,8mg,48.19,1mg,15.19,0.38mg,25.27,76mg,7.6,46µg,11.72,2mg,17.96,0.66mg,38.75,12mg,61.87,16mg,108.02,49µg,70.26,11µg,187.08,,,37mg,12.64
27,False,False,False,False,0.0,6,651389,Medenjaci - Croatian Honey Spice Cookies,21.3,45,45,https://www.foodista.com/recipe/KBVSMBH4/medenjaci-croatian-honey-spice-cookies,140,7.01,5g,8.21,3g,18.87,21g,7.04,8g,9.58,22mg,7.62,72mg,3.16,,,2g,4.85,155IU,3.11,,,0.26mg,13.07,,,0.02mg,1.21,0.05mg,2.26,0.72g,2.89,35mg,1.01,8mg,2.01,31mg,3.18,0.58mg,3.22,0.13mg,1.35,0.07mg,4.86,,,17µg,4.47,0.22mg,1.46,0.06mg,3.5,0.6mg,3.01,0.24mg,1.63,7µg,11.09,,,,,,
28,False,True,False,False,28.0,1254,715523,Chorizo and Beef Quinoa Stuffed Pepper,369.37,30,4,http://www.pinkwhen.com/chorizo-and-beef-quinoa-stuffed-pepper-recipe/,688,34.44,37g,56.97,14g,89.75,32g,10.84,3g,3.71,147mg,49.16,1478mg,64.28,,,51g,102.3,3002IU,60.06,16µg,16.15,0.98mg,49.04,96mg,116.91,0.89mg,44.36,0.36mg,18.08,4g,19.31,821mg,23.46,121mg,30.44,473mg,47.35,7mg,41.22,1mg,13.13,0.25mg,16.4,94mg,9.45,123µg,30.89,2mg,18.12,0.42mg,24.56,7mg,38.44,7mg,50.2,24µg,35.06,2µg,43.31,0.16µg,1.04,,
29,True,True,True,False,13.0,11,663858,Tropical Ice Pops,89.87,45,6,http://www.foodista.com/recipe/KCTN2T42/tropical-ice-pops,97,4.88,3g,4.75,2g,18.13,17g,5.7,13g,15.47,0.0mg,0.0,29mg,1.27,,,0.34g,0.67,309IU,6.19,1µg,1.24,0.48mg,23.84,19mg,24.08,0.06mg,2.79,0.05mg,2.66,0.89g,3.56,95mg,2.71,14mg,3.56,,,,,,,0.03mg,2.11,34mg,3.48,19µg,4.87,0.25mg,1.68,0.17mg,9.72,0.3mg,1.48,0.23mg,1.53,,,0.49µg,8.19,19µg,131.11,,
30,False,True,False,True,100.0,18,636589,Butternut Squash Frittata,340.39,45,1,http://www.foodista.com/recipe/XQXFKGHT/butternut-squash-frittata,468,23.42,3g,6.13,2g,14.13,96g,32.06,23g,26.44,7mg,2.37,347mg,15.11,,,24g,48.85,82547IU,1650.95,12µg,11.82,1mg,81.05,253mg,306.99,1mg,79.26,0.69mg,34.4,16g,66.26,3115mg,89.0,288mg,72.08,423mg,42.38,8mg,46.3,5mg,55.23,0.96mg,64.28,513mg,51.33,260µg,65.01,14mg,93.34,0.81mg,47.42,9mg,49.97,2mg,18.65,56µg,81.4,0.6µg,10.06,2µg,16.16,,
31,False,True,True,False,44.0,7,632590,Apple Roasted Pork Loin,354.48,45,6,https://www.foodista.com/recipe/BVKG5VJM/apple-roasted-pork-loin,889,44.46,67g,104.13,26g,163.96,39g,13.21,34g,38.76,137mg,45.72,201mg,8.74,,,31g,62.7,63IU,1.27,6µg,6.63,0.17mg,8.29,5mg,6.94,0.66mg,33.03,0.16mg,8.14,2g,11.71,658mg,18.82,39mg,9.77,308mg,30.88,3mg,21.31,0.67mg,6.72,0.18mg,11.76,33mg,3.35,13µg,3.42,1mg,8.05,0.29mg,17.11,5mg,27.03,7mg,46.81,39µg,56.94,5µg,87.63,,,,
32,False,False,False,True,68.0,7,635869,Braised Smoky Pork With Fresh Pappardelle,635.51,45,4,https://www.foodista.com/recipe/LDL77G85/braised-smoky-pork-with-fresh-pappardelle,1216,60.85,33g,51.63,9g,59.32,115g,38.4,23g,26.48,310mg,103.54,655mg,28.48,6g,34.33,99g,198.05,7122IU,142.46,56µg,54.22,1mg,74.4,23mg,28.64,3mg,151.22,0.88mg,43.87,9g,36.82,2403mg,68.67,199mg,49.93,1176mg,117.7,8mg,45.99,4mg,47.45,2mg,164.94,160mg,16.03,64µg,16.14,4mg,31.31,1mg,110.33,38mg,192.4,9mg,64.14,179µg,256.92,3µg,56.78,0.34µg,2.27,,
33,False,False,False,False,9.0,13,654835,Pasta e Fagioli (Pasta and Beans),63.85,45,6,https://www.foodista.com/recipe/QF3SKD4Y/pasta-e-fagioli-pasta-and-beans,187,9.36,6g,9.45,1g,8.77,27g,9.02,1g,2.17,2mg,0.94,487mg,21.21,,,8g,16.46,525IU,10.51,17µg,16.35,0.27mg,13.54,5mg,7.09,0.08mg,4.09,0.1mg,5.21,4g,18.7,143mg,4.09,18mg,4.5,74mg,7.46,2mg,11.47,0.15mg,1.46,0.04mg,2.36,109mg,10.93,10µg,2.61,1mg,6.66,0.04mg,2.2,0.55mg,2.77,0.47mg,3.16,12µg,17.51,,,,,,
34,True,True,True,True,71.0,44,640062,Corn Avocado Salsa,130.73,25,2,http://www.foodista.com/recipe/BDRS2JZG/corn-avocado-salsa,238,11.94,15g,23.9,2g,13.97,26g,8.76,2g,2.58,0.0mg,0.0,13mg,0.6,,,4g,9.24,1093IU,21.87,22µg,21.56,0.34mg,16.77,53mg,64.29,0.48mg,23.92,0.24mg,12.07,9g,36.91,758mg,21.68,56mg,14.21,121mg,12.16,1mg,10.05,1mg,16.8,0.16mg,10.43,29mg,2.93,119µg,30.0,2mg,17.23,0.22mg,12.67,3mg,15.67,1mg,8.12,1µg,1.7,,,,,,
35,False,False,False,False,17.0,13,639629,Classic Macaroni and Cheese,150.88,45,6,http://www.foodista.com/recipe/RL6K6X3J/classic-macaroni-and-cheese,944,47.23,54g,83.59,33g,208.51,77g,25.86,10g,11.93,162mg,54.08,940mg,40.89,,,35g,71.96,1829IU,36.58,5µg,5.09,0.84mg,42.22,,,0.24mg,12.08,0.32mg,15.78,3g,12.27,491mg,14.05,83mg,20.98,696mg,69.69,2mg,13.04,1mg,13.6,0.31mg,20.68,766mg,76.67,59µg,14.92,1mg,7.43,0.69mg,40.5,2mg,12.75,4mg,28.15,69µg,98.58,1µg,23.52,2µg,19.05,,
36,True,True,False,False,27.0,11132,716423,Grilled Zucchini with Goat Cheese and Balsamic-Honey Syrup,254.98,45,2,http://fullbellysisters.blogspot.com/2012/04/grilled-zucchini-with-goat-cheese-and.html,294,14.72,13g,21.27,4g,31.18,35g,11.71,31g,35.42,13mg,4.35,327mg,14.23,,,8g,17.26,3017IU,60.35,12µg,11.99,0.53mg,26.58,130mg,157.97,0.61mg,30.61,0.34mg,17.14,3g,14.27,734mg,20.99,54mg,13.57,175mg,17.53,1mg,11.0,0.84mg,8.43,0.15mg,9.88,89mg,8.91,85µg,21.28,3mg,23.2,0.36mg,21.37,1mg,8.8,1mg,7.7,1µg,2.04,,,,,,
37,False,False,False,False,4.0,20,665182,White Chocolate Macadamia Banana Bread,105.3,45,8,https://www.foodista.com/recipe/2SRKJZC6/white-chocolate-macadamia-banana-bread,523,26.19,24g,38.24,10g,64.96,69g,23.11,40g,45.17,79mg,26.65,439mg,19.12,,,8g,17.49,369IU,7.39,2µg,2.38,0.83mg,41.25,2mg,3.58,0.21mg,10.29,0.19mg,9.65,2g,11.08,306mg,8.76,37mg,9.35,151mg,15.17,2mg,12.92,0.81mg,8.12,0.43mg,28.73,90mg,9.01,75µg,18.99,0.64mg,4.25,0.36mg,20.95,2mg,12.64,0.85mg,5.7,17µg,25.06,0.4µg,6.62,0.53µg,3.54,,
38,True,False,False,False,1.0,7,631785,"Impossible"" Coconut Pie",73.25,45,10,https://www.foodista.com/recipe/CBTKCKX4/impossible-coconut-pie,238,11.94,15g,24.01,11g,71.88,23g,7.78,15g,16.89,65mg,21.74,77mg,3.38,,,3g,6.93,298IU,5.97,,,0.37mg,18.67,16mg,20.11,0.07mg,3.31,0.13mg,6.26,1g,6.66,151mg,4.33,20mg,5.2,71mg,7.1,1mg,8.31,0.38mg,3.75,0.09mg,5.89,23mg,2.36,29µg,7.39,0.37mg,2.46,0.12mg,6.79,0.68mg,3.42,0.48mg,3.21,7µg,11.06,0.13µg,2.17,0.38µg,2.51,,
39,False,False,False,False,1.0,110,637625,Cheesecake with cranberries,140.42,45,10,http://www.foodista.com/recipe/CYZ254BN/cheesecake-with-cranberries,540,27.05,44g,67.92,24g,150.88,32g,10.74,16g,18.5,145mg,48.34,465mg,20.25,,,5g,11.91,1362IU,27.26,6µg,6.64,0.26mg,13.23,3mg,3.93,0.08mg,3.76,0.07mg,3.68,1g,6.3,151mg,4.33,13mg,3.41,120mg,12.08,1mg,6.31,0.62mg,6.17,0.11mg,7.03,86mg,8.66,28µg,7.2,1mg,7.92,0.22mg,13.11,0.97mg,4.83,0.59mg,3.95,6µg,9.14,0.3µg,5.0,0.88µg,5.87,,
40,False,True,True,False,32.0,32,655890,Philly Cheesesteak Grilled Wraps,355.3,45,4,https://www.foodista.com/recipe/CD7ZB5SK/philly-cheesesteak-grilled-wraps,411,20.59,22g,34.63,10g,65.87,25g,8.6,7g,8.1,69mg,23.12,399mg,17.39,,,27g,54.62,1881IU,37.63,8µg,7.92,0.32mg,15.84,80mg,97.05,0.77mg,38.41,0.27mg,13.65,3g,13.68,709mg,20.28,42mg,10.66,297mg,29.78,3mg,19.19,0.79mg,7.88,0.33mg,22.02,58mg,5.82,90µg,22.52,1mg,7.85,0.43mg,25.39,9mg,45.86,6mg,42.84,43µg,61.54,1µg,31.72,0.24µg,1.61,,
41,True,True,False,False,0.0,9,639492,Cinnamon Twists,23.61,45,14,http://www.foodista.com/recipe/MM3F6P6J/cinnamon-twists,192,9.64,14g,22.08,8g,55.35,15g,5.13,15g,16.86,59mg,20.0,215mg,9.38,,,1g,3.36,467IU,9.35,1µg,1.15,,,,,0.02mg,1.25,,,,,40mg,1.16,,,34mg,3.42,,,0.25mg,2.47,0.07mg,4.42,27mg,2.75,16µg,4.0,0.45mg,3.03,0.09mg,5.08,0.23mg,1.14,0.2mg,1.34,2µg,4.09,0.16µg,2.7,0.6µg,3.97,,
42,True,False,False,False,26.0,12,644681,Gingerbread Christmas Tree Cookies,207.62,45,1,https://www.foodista.com/recipe/CD44DQH5/gingerbread-christmas-tree-cookies,1654,82.7,37g,57.61,22g,140.27,302g,100.99,105g,117.48,92mg,30.67,637mg,27.73,,,28g,57.68,1106IU,22.13,4µg,4.35,3mg,173.97,,,0.2mg,10.02,0.46mg,23.05,9g,36.05,789mg,22.55,81mg,20.31,516mg,51.62,13mg,75.02,1mg,15.12,2mg,133.21,319mg,31.99,464µg,116.15,1mg,7.87,1mg,80.65,15mg,76.75,2mg,15.52,90µg,129.52,0.34µg,5.63,1µg,9.2,,
43,False,True,False,True,73.0,126,729366,Plantain Salad,494.53,45,1,http://www.afrolems.com/2016/04/07/plantain-salad/,588,29.41,18g,27.82,12g,80.05,103g,34.42,52g,58.47,48mg,16.25,304mg,13.24,,,17g,35.93,9694IU,193.89,165µg,157.72,1mg,70.23,398mg,483.62,1mg,81.5,0.66mg,33.1,18g,73.72,2848mg,81.38,174mg,43.71,376mg,37.61,5mg,31.02,1mg,17.71,0.55mg,36.94,251mg,25.14,311µg,78.0,4mg,32.35,0.43mg,25.37,5mg,27.36,2mg,16.89,13µg,19.46,0.19µg,3.22,,,,
44,False,True,True,False,11.0,336,716296,Peri Peri Chicken and Savoury Rice,143.05,45,6,http://www.afrolems.com/2013/07/30/peri-peri-chicken-savoury-rice/,520,26.04,41g,64.46,21g,134.63,7g,2.39,2g,2.46,115mg,38.53,890mg,38.71,,,29g,59.75,2101IU,42.02,16µg,15.45,0.25mg,12.64,47mg,57.36,0.73mg,36.64,0.13mg,6.63,2g,10.06,469mg,13.41,44mg,11.2,253mg,25.32,2mg,14.24,1mg,16.04,0.13mg,8.88,52mg,5.23,26µg,6.6,2mg,16.18,0.25mg,14.69,11mg,55.34,2mg,15.17,23µg,32.86,0.48µg,7.96,0.31µg,2.06,,
45,True,True,True,False,15.0,15,632819,Asian Chickpea Lettuce Wraps,32.49,45,6,https://www.foodista.com/recipe/88WZSMJ6/asian-chickpea-lettuce-wraps,58,2.92,2g,4.19,0.37g,2.29,7g,2.53,4g,5.0,0.0mg,0.0,243mg,10.6,,,1g,2.37,2680IU,53.61,39µg,37.18,0.17mg,8.71,1mg,2.35,0.09mg,4.52,0.05mg,2.59,1g,5.59,129mg,3.69,10mg,2.65,24mg,2.42,0.65mg,3.62,,,0.03mg,2.01,21mg,2.13,42µg,10.68,0.63mg,4.2,0.03mg,2.05,0.34mg,1.68,0.19mg,1.26,,,,,,,,
46,True,False,False,False,1.0,186,1005367,Shortbread Lemon Bars,36.23,70,9,https://pickfreshfoods.com/shortbread-lemon-bars/,247,12.4,9g,14.29,5g,33.63,38g,12.87,27g,30.27,75mg,25.05,89mg,3.89,,,3g,7.16,326IU,6.53,,,0.1mg,5.11,5mg,7.05,0.04mg,2.01,0.04mg,1.85,0.46g,1.85,60mg,1.72,6mg,1.61,52mg,5.22,0.93mg,5.18,0.33mg,3.33,0.12mg,7.99,20mg,2.05,35µg,8.9,0.4mg,2.69,0.16mg,9.15,0.85mg,4.27,0.33mg,2.18,9µg,13.78,0.17µg,2.84,0.5µg,3.3,,
47,False,True,False,False,9.0,67,641794,Easter Bunny's Vegan Ambrosia Salad,206.1,45,4,https://www.foodista.com/recipe/8FXJDNZ3/easter-bunny-s-vegan-ambrosia-salad,805,40.26,60g,93.83,29g,181.73,65g,21.96,40g,44.67,116mg,38.84,212mg,9.24,,,7g,14.05,1389IU,27.79,3µg,3.74,1mg,90.59,45mg,54.67,0.16mg,7.97,0.5mg,24.85,5g,23.58,365mg,10.43,52mg,13.16,156mg,15.69,1mg,7.8,0.69mg,6.93,0.27mg,17.83,100mg,10.04,35µg,8.85,1mg,9.24,0.16mg,9.52,0.8mg,3.98,1mg,10.91,4µg,6.28,0.15µg,2.55,0.6µg,3.97,,
48,False,True,False,False,5.0,27,642096,Easy Shrimp Scampi,306.85,45,4,http://www.foodista.com/recipe/PVM55SR7/shrimp-scampi,278,13.94,16g,25.32,7g,49.37,3g,1.0,0.55g,0.61,315mg,105.29,1275mg,55.45,3g,17.17,23g,47.36,519IU,10.4,36µg,34.56,0.58mg,29.01,11mg,14.08,0.09mg,4.4,0.32mg,15.89,,,153mg,4.4,43mg,10.87,238mg,23.87,2mg,15.22,0.24mg,2.35,0.02mg,1.52,182mg,18.26,15µg,3.91,2mg,14.04,0.03mg,2.03,0.74mg,3.69,2mg,15.67,54µg,78.13,0.86µg,14.38,0.21µg,1.4,,
49,False,True,False,False,17.0,8,651326,Meat rolls with prosciutto and sage,441.82,45,4,https://www.foodista.com/recipe/ZFFJCY6F/meat-rolls-with-prosciutto-and-sage,477,23.89,30g,46.68,11g,69.33,4g,1.64,1g,1.52,121mg,40.59,299mg,13.03,5g,28.61,35g,71.61,811IU,16.23,22µg,21.85,0.23mg,11.29,23mg,28.9,1mg,53.96,0.26mg,13.2,1g,5.78,668mg,19.11,50mg,12.53,358mg,35.83,3mg,19.9,1mg,11.96,0.19mg,12.96,79mg,8.0,34µg,8.66,2mg,16.37,0.23mg,13.62,10mg,53.5,6mg,41.47,49µg,70.77,1µg,25.03,0.21µg,1.38,,
