,vegetarian,glutenFree,dairyFree,veryHealthy,healthScore,aggregateLikes,id,title,pricePerServing,readyInMinutes,servings,sourceUrl,Calories-Amount,Calories-PercentOfDailyNeed,Fat-Amount,Fat-PercentOfDailyNeed,Saturated Fat-Amount,Saturated Fat-PercentOfDailyNeed,Carbohydrates-Amount,Carbohydrates-PercentOfDailyNeed,Sugar-Amount,Sugar-PercentOfDailyNeed,Cholesterol-Amount,Cholesterol-PercentOfDailyNeed,Sodium-Amount,Sodium-PercentOfDailyNeed,Alcohol-Amount,Alcohol-PercentOfDailyNeed,Protein-Amount,Protein-PercentOfDailyNeed,Vitamin A-Amount,Vitamin A-PercentOfDailyNeed,Vitamin K-Amount,Vitamin K-PercentOfDailyNeed,Manganese-Amount,Manganese-PercentOfDailyNeed,Vitamin C-Amount,Vitamin C-PercentOfDailyNeed,Vitamin B6-Amount,Vitamin B6-PercentOfDailyNeed,Copper-Amount,Copper-PercentOfDailyNeed,Fiber-Amount,Fiber-PercentOfDailyNeed,Potassium-Amount,Potassium-PercentOfDailyNeed,Magnesium-Amount,Magnesium-PercentOfDailyNeed,Phosphorus-Amount,Phosphorus-PercentOfDailyNeed,Iron-Amount,Iron-PercentOfDailyNeed,Vitamin B5-Amount,Vitamin B5-PercentOfDailyNeed,Vitamin B1-Amount,Vitamin B1-PercentOfDailyNeed,Calcium-Amount,Calcium-PercentOfDailyNeed,Folate-Amount,Folate-PercentOfDailyNeed,Vitamin E-Amount,Vitamin E-PercentOfDailyNeed,Vitamin B2-Amount,Vitamin B2-PercentOfDailyNeed,Vitamin B3-Amount,Vitamin B3-PercentOfDailyNeed,Zinc-Amount,Zinc-PercentOfDailyNeed,Selenium-Amount,Selenium-PercentOfDailyNeed,Vitamin B12-Amount,Vitamin B12-PercentOfDailyNeed,Vitamin D-Amount,Vitamin D-PercentOfDailyNeed,Caffeine-Amount,Caffeine-PercentOfDailyNeed
89,False,True,False,False,3.0,7,645418,Green Beans with Pearl Onions and Salmon,58.74,45,4,https://www.foodista.com/recipe/PDS5KZWD/green-beans-with-pearl-onions-and-salmon,106,5.34,7g,10.97,3g,24.03,10g,3.37,5g,5.81,15mg,5.21,78mg,3.4,,,2g,5.29,958IU,19.16,17µg,16.65,0.26mg,12.78,14mg,17.48,0.18mg,9.04,0.09mg,4.58,3g,12.76,270mg,7.72,30mg,7.5,51mg,5.15,1mg,6.84,0.28mg,2.78,0.1mg,6.84,46mg,4.67,39µg,9.97,0.78mg,5.18,0.14mg,8.0,1mg,5.51,0.31mg,2.09,1µg,1.74,,,,,,
90,False,True,False,False,1.0,79,659782,Sex in a glass,83.36,45,6,http://www.foodista.com/recipe/3BZLKWW2/sex-in-a-glass,565,28.28,31g,48.96,19g,123.84,70g,23.66,40g,44.46,118mg,39.59,195mg,8.5,,,3g,6.6,1294IU,25.9,2µg,2.53,0.07mg,3.34,,,0.04mg,1.88,0.05mg,2.35,0.51g,2.06,225mg,6.46,20mg,5.24,98mg,9.87,0.25mg,1.4,0.4mg,3.96,0.03mg,2.1,108mg,10.89,5µg,1.27,0.91mg,6.05,0.19mg,10.98,0.78mg,3.88,0.44mg,2.91,1µg,1.89,0.26µg,4.41,0.6µg,4.0,78mg,26.18
91,False,False,False,False,7.0,10,637932,Chicken and White Bean Chili,134.06,45,9,https://www.foodista.com/recipe/J3VSRLHM/chicken-and-white-bean-chili,417,20.86,29g,45.55,13g,81.68,16g,5.4,1g,2.05,121mg,40.53,501mg,21.82,,,23g,46.19,1495IU,29.91,5µg,4.99,0.16mg,7.93,38mg,46.15,0.47mg,23.67,0.12mg,6.15,3g,14.93,353mg,10.11,35mg,8.78,208mg,20.86,2mg,16.42,1mg,11.32,0.13mg,8.6,105mg,10.52,26µg,6.63,1mg,10.08,0.24mg,14.2,7mg,36.7,1mg,10.91,17µg,24.33,0.41µg,6.86,0.47µg,3.14,,
92,False,False,False,False,1.0,31,635561,Blueberry-Lavender Sauce and Ginger Snap Ice Cream Cups,74.76,45,12,https://www.foodista.com/recipe/26YSG3GF/blueberry-lavender-sauce-and-ginger-snap-ice-cream-cups,291,14.58,11g,17.16,5g,36.98,47g,15.82,28g,31.93,22mg,7.56,220mg,9.6,,,2g,4.3,280IU,5.62,8µg,8.27,0.57mg,28.47,4mg,4.94,0.05mg,2.54,0.11mg,5.55,1g,6.31,141mg,4.05,17mg,4.3,36mg,3.63,1mg,10.82,0.2mg,1.98,0.07mg,4.91,34mg,3.46,27µg,6.91,0.73mg,4.84,0.12mg,6.97,1mg,5.43,0.27mg,1.77,1µg,2.58,,,0.15µg,1.02,,
93,True,False,False,False,38.0,135,782619,Mushroom Goat Cheese Baked Eggs,468.61,45,2,http://fullbellysisters.blogspot.com/2016/04/mushroom-goat-cheese-baked-eggs.html,762,38.11,27g,42.2,13g,81.83,89g,29.89,12g,13.78,454mg,151.36,1133mg,49.3,,,42g,85.91,926IU,18.53,10µg,10.11,1mg,52.42,9mg,11.8,0.82mg,41.06,1mg,61.87,7g,28.63,1226mg,35.03,86mg,21.59,671mg,67.14,9mg,53.05,5mg,59.08,0.84mg,55.91,197mg,19.71,303µg,75.78,1mg,10.36,1mg,112.86,14mg,73.08,4mg,28.95,92µg,131.75,1µg,19.23,2µg,18.9,,
94,True,True,False,False,6.0,122,715602,Green Chili Cheddar Dip (Guest Post),205.62,45,2,http://www.pinkwhen.com/green-chili-cheddar-dip-guest-post/,634,31.71,57g,88.65,33g,211.49,9g,3.23,5g,6.49,184mg,61.42,905mg,39.36,,,20g,41.94,2091IU,41.82,4µg,4.65,0.03mg,1.29,6mg,8.26,0.09mg,4.72,0.04mg,2.16,1g,7.76,221mg,6.32,26mg,6.67,413mg,41.37,0.86mg,4.78,0.89mg,8.86,0.04mg,2.76,520mg,52.05,23µg,5.76,0.5mg,3.32,0.36mg,20.91,0.22mg,1.08,2mg,15.77,10µg,15.41,0.75µg,12.57,1µg,6.8,,
95,True,True,False,False,7.0,13,637067,Caramelized Tofu & Gala Apple Salad,247.29,45,2,http://www.foodista.com/recipe/SRNHDHGT/caramelized-tofu-gala-apple-salad,329,16.49,15g,24.33,4g,29.74,33g,11.22,25g,28.4,15mg,5.02,192mg,8.35,,,16g,33.86,771IU,15.42,28µg,27.49,0.6mg,30.13,8mg,9.99,0.16mg,8.22,0.57mg,28.44,4g,18.19,619mg,17.7,78mg,19.53,260mg,26.01,3mg,18.13,0.27mg,2.68,0.28mg,18.55,110mg,11.03,36µg,9.08,0.64mg,4.27,0.13mg,7.93,0.82mg,4.09,1mg,12.12,1µg,1.52,,,,,,
96,False,True,False,False,11.0,23,633139,Avocado Chocolate Bits Frozen Yogurt,238.41,45,4,https://www.foodista.com/recipe/4RLKWMW5/avocado-chocolate-bits-frozen-yogurt,700,35.03,37g,58.22,15g,96.45,79g,26.39,65g,72.5,200mg,66.86,118mg,5.17,,,14g,28.91,593IU,11.88,21µg,20.59,0.72mg,36.03,9mg,11.86,0.37mg,18.52,0.76mg,38.18,9g,36.82,1000mg,28.59,126mg,31.65,423mg,42.37,3mg,21.17,2mg,26.73,0.19mg,12.48,320mg,32.03,107µg,26.89,2mg,16.97,0.58mg,34.13,2mg,10.19,3mg,20.99,20µg,29.31,1µg,22.23,2µg,16.7,37mg,12.54
97,False,False,False,False,21.0,18,632874,Asian Salmon Burgers With Tangy Ginger Lime Sauce,370.04,30,4,http://www.foodista.com/recipe/FRT38YTC/asian-salmon-burgers-with-tangy-ginger-lime-sauce,564,28.22,39g,61.16,6g,41.03,23g,7.68,3g,3.74,71mg,23.79,651mg,28.33,,,27g,55.29,149IU,2.99,35µg,33.51,0.39mg,19.37,2mg,2.51,0.99mg,49.3,0.36mg,17.93,1g,4.35,650mg,18.58,47mg,11.9,292mg,29.2,2mg,14.75,1mg,19.6,0.54mg,36.17,102mg,10.2,80µg,20.18,0.81mg,5.4,0.55mg,32.26,11mg,56.1,1mg,7.97,52µg,74.35,3µg,62.2,,,,
98,False,False,False,False,1.0,10,636325,Brownie Cheesecake,110.76,45,12,http://www.foodista.com/recipe/DHPVY2XZ/brownie-cheesecake,524,26.2,36g,56.44,20g,126.7,44g,14.87,38g,43.06,132mg,44.15,311mg,13.55,,,6g,12.32,1298IU,25.97,3µg,3.52,0.05mg,2.43,,,0.05mg,2.3,0.04mg,1.79,,,126mg,3.61,9mg,2.33,105mg,10.59,0.76mg,4.23,0.58mg,5.79,0.05mg,3.07,83mg,8.38,17µg,4.47,0.54mg,3.62,0.17mg,9.72,0.4mg,1.99,0.54mg,3.58,4µg,7.1,0.28µg,4.63,0.75µg,5.0,,
99,True,True,True,False,4.0,27,798956,Mango Banana Coconut Smoothie,64.83,45,4,http://foodandspice.blogspot.com/2016/08/mango-banana-coconut-smoothie.html,137,6.89,8g,12.84,7g,45.05,17g,5.74,12g,13.37,0.0mg,0.0,10mg,0.46,,,1g,3.08,462IU,9.26,2µg,1.97,0.44mg,21.78,17mg,21.48,0.17mg,8.45,0.18mg,8.91,1g,7.34,288mg,8.25,32mg,8.09,52mg,5.2,1mg,9.08,0.25mg,2.53,0.03mg,2.07,18mg,1.83,29µg,7.3,0.41mg,2.76,0.04mg,2.27,0.77mg,3.87,0.33mg,2.21,,,,,,,,
